,Total Bytes,Average Packet Size,Smallest Packet,Largest Packets,25%,50%,75%,No Sources,No of Destinations,No of IP srcs,No of IP dsts,unique addresses,No TCP Flags,No Protocols,Packet Count,Average Inter Arrival Time
72,16317,92.1864406779661,42,341,60.0,60.0,108.0,8,11,6,9,14,2,7,177,0.03389954237288135593220338983
73,14562,91.0125,42,341,60.0,83.0,108.0,7,6,4,4,9,2,4,160,0.037502
74,15723,97.05555555555556,42,342,60.0,83.0,108.0,9,9,6,6,11,2,6,162,0.03703785185185185185185185185
75,20290,111.48351648351648,42,450,60.0,83.0,108.0,8,9,4,5,11,2,5,182,0.03296845604395604395604395604
76,26110,128.6206896551724,42,450,60.0,86.0,114.0,8,8,4,5,11,2,6,203,0.02955778817733990147783251232
77,15227,93.41717791411043,42,341,60.0,83.0,108.0,8,7,5,5,10,2,6,163,0.03681126380368098159509202454
78,13692,92.51351351351352,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,148,0.04054212162162162162162162162
79,13936,91.08496732026144,60,341,60.0,83.0,108.0,7,6,4,4,8,2,4,153,0.03921837254901960784313725490
80,14781,97.88741721854305,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,151,0.03973664238410596026490066225
81,21866,110.43434343434343,42,450,60.0,83.0,108.0,9,10,6,7,14,2,7,198,0.03030411616161616161616161616
82,25122,128.1734693877551,42,450,60.0,83.0,114.0,8,10,6,8,13,2,7,196,0.03061263775510204081632653061
83,14056,90.68387096774194,60,341,60.0,83.0,108.0,6,6,4,4,8,2,4,155,0.03871114193548387096774193548
84,14067,92.54605263157895,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,152,0.03947625
85,15030,97.59740259740259,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,154,0.03896260389610389610389610390
86,16588,94.78857142857143,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,175,0.03428616571428571428571428571
87,19191,114.91616766467065,60,450,60.0,83.0,108.0,8,8,5,6,11,2,5,167,0.03593041916167664670658682635
